"","Recent.Diversity","Early.Diversity","Percent.Change","Lower.CI","Upper.CI","SE.Percent.Change","Effective.N","Hedges.g.recalc","Hedges.g.SE.recalc","Hedges.g.CI.lower.recalc","Hedges.g.CI.upper.recalc","SD.Percent.Change","CV.Percent.Change","pvalue","pvalue_signed","pvalue_color","HedgesG","HedgesG.err","Gen.interval","N.Loci","Early.Sample.N","Recent.Sample.N","Percent.Change.truncated","Binomen.rotl","PaperID","Z.Year.Midpoint","Z.Gen.interval","totalbp","pvalueconservative"
"40",0.926,0.919,0.761697497279652,-0.784425845328414,2.30782083988772,0.788838440106156,36.9230769230769,0.36125898652549,0.234081415837402,-0.097540588515818,0.820058561566798,2.09291131186678,274.769356515081,0.458407245533139,0.458407245533139,0,0.249074004,0.335918244,0.25,6,"24","80",0.761697497279652,"Paracentrotus lividus","Couvray et al. - 2015 - Experimental Release of Juvenile Sea Urchins ( i.pdf",0.079743324,-0.041525911,6,0.460111026592885
"41",0.939,0.928,1.1853448275862,-0.239414246049277,2.61010390122167,0.726917894711976,32.7157894736842,0.585400422295854,0.250870906932868,0.093693444707432,1.07710739988428,2.00847109807202,169.441925364623,0.203602946802066,0.203602946802066,0,0.433750811,0.34117249,0.25,6,"21","74",1.1853448275862,"Paracentrotus lividus","Couvray et al. - 2015 - Experimental Release of Juvenile Sea Urchins ( i.pdf",0.079743324,-0.041525911,6,0.206773449989337
"43",0.754,0.7578,-0.501451570335184,-5.27425747025316,4.27135432958279,2.43510505097856,392.86741016109,-0.0146390467812196,0.0713506049060814,-0.154486232397139,0.1252081388347,34.2224628271863,6824.67956064252,0.914734694411882,-0.914734694411882,0,-0.014276154,0.13333673,1.550387597,15,"338","469",-0.501451570335184,"Xyrauchen texanus","Dowling et al. - 2014 - Time- series analysis reveals genetic responses to.pdf",0.06593034,-0.039613391,15,0.914761371505765
"44",0.8455,0.83386,1.39591777996306,-3.12004578853542,5.91188134846154,2.30406304515229,71.5866666666667,0.10699049009923,0.16726123304965,-0.220841526678084,0.434822506876545,12.9808911205035,929.918030046652,0.479246167754654,0.479246167754654,0,0.101203047,0.143040037,3.80952381,14,"59","91",1.39591777996306,"Oncorhynchus tshawytscha","Eldridge and Killebrew - 2008 - Genetic diversity over multiple generations of sup.pdf",0.045671298,-0.03629081,14,0.48035879804387
"45",0.837,0.84114,-0.492189171838223,-4.99758928948594,4.0132109458095,2.2986735294121,44.8,-0.0451532417771033,0.211315365968041,-0.459331359074463,0.369024875520257,10.8072512088651,2195.75151734896,0.757781327297767,-0.757781327297767,0,-0.044067209,0.14289182,1.19047619,14,"48","42",-0.492189171838223,"Oncorhynchus tshawytscha","Eldridge and Killebrew - 2008 - Genetic diversity over multiple generations of sup.pdf",0.055800819,-0.040142724,14,0.758510176075526
"50",0.82,0.82,0,-3.63293986374885,3.63293986374885,1.85354074681064,73.2467532467532,0,0.165242139114111,-0.323874592663657,0.323874592663657,11.352573857286,Inf,1,NA,0,0,0.133333333,1.095890411,15,"60","94",0,"Salmo salar","Ferchaud et al. - 2016 - Making sense of the relationships between Ne, Nb a.pdf",0.076980727,-0.040281834,15,1
"51",0.81,0.82,-1.21951219512194,-5.03014149646036,2.59111710621648,1.94419862313185,77.4320987654321,-0.097239120923268,0.160805053123124,-0.41241702504459,0.217938783198054,12.4824944346522,1023.56454364149,0.469530549122799,-0.469530549122799,0,-0.096544767,0.133488682,1.095890411,15,"64","98",-1.21951219512194,"Salmo salar","Ferchaud et al. - 2016 - Making sense of the relationships between Ne, Nb a.pdf",0.076980727,-0.040281834,15,0.470586521438221
"52",0.85,0.86,-1.16279069767442,-3.41613636851843,1.09055497316959,1.14966615859388,95.9583333333333,-0.145306594146931,0.144559205505587,-0.428642636937881,0.138029448644019,7.97069598810175,685.47985497675,0.288069723874499,-0.288069723874499,0,-0.142005807,0.133669427,1.095890411,15,"98","94",-1.16279069767442,"Salmo salar","Ferchaud et al. - 2016 - Making sense of the relationships between Ne, Nb a.pdf",0.076980727,-0.040281834,15,0.289418153878249
"53",0.82,0.83,-1.20481927710843,-4.61489319067001,2.20525463645314,1.73983362936815,95.9583333333333,-0.0996207361165035,0.144458381594747,-0.382759164042209,0.183517691809202,12.0462585638288,999.839460797792,0.466105122916157,-0.466105122916157,0,-0.097292433,0.133491097,1.095890411,15,"98","94",-1.20481927710843,"Salmo salar","Ferchaud et al. - 2016 - Making sense of the relationships between Ne, Nb a.pdf",0.076980727,-0.040281834,15,0.467002527194545
"54",0.84,0.85,-1.1764705882353,-4.19932560090276,1.84638442443217,1.54227296564667,95.4973821989529,-0.10999843901677,0.144826299234018,-0.393857985515445,0.173861107481905,10.6528409052014,905.491476942115,0.421068934567025,-0.421068934567025,0,-0.107430515,0.133525689,1.095890411,15,"96","95",-1.1764705882353,"Salmo salar","Ferchaud et al. - 2016 - Making sense of the relationships between Ne, Nb a.pdf",0.076980727,-0.040281834,15,0.422079836163736
"55",0.82,0.85,-3.52941176470589,-7.48042861496583,0.421605085554059,2.01582492360201,59.9577464788732,-0.306394945795818,0.18354122128138,-0.666135739507323,0.0533458479156868,11.4573377464092,324.624569481595,0.0236091008786503,-0.0236091008786503,0,-0.305307206,0.134886875,1.095890411,15,"43","99",-3.52941176470589,"Salmo salar","Ferchaud et al. - 2016 - Making sense of the relationships between Ne, Nb a.pdf",0.076980727,-0.040281834,15,0.0251471122871316
"56",0.79,0.83,-4.81927710843373,-9.29625320410317,-0.34230101276428,2.28417147738237,98.497461928934,-0.299853647803428,0.143294435734957,-0.580710741843944,-0.0189965537629118,16.0102025378574,332.211702660541,0.029857570229179,-0.029857570229179,0,-0.292697921,0.134761201,1.095890411,15,"99","98",-4.81927710843373,"Salmo salar","Ferchaud et al. - 2016 - Making sense of the relationships between Ne, Nb a.pdf",0.076980727,-0.040281834,15,0.0310643639718502
"57",0.84,0.86,-2.32558139534884,-5.21291830841088,0.561755517713201,1.47313107809288,69.3774834437086,-0.246083957576941,0.170376987228041,-0.5800228525439,0.0878549373900192,9.4027087244996,404.316475153483,0.0626332669612433,-0.0626332669612433,0,-0.250180286,0.134376503,1.095890411,15,"54","97",-2.32558139534884,"Salmo salar","Ferchaud et al. - 2016 - Making sense of the relationships between Ne, Nb a.pdf",0.076980727,-0.040281834,15,0.0646030433085678
"58",0.84,0.84,0,-3.22724355663136,3.22724355663136,1.646552835016,91.2786885245902,0,0.14802337497919,-0.290125814959212,0.290125814959212,11.1412592425038,Inf,1,NA,0,0,0.133333333,1.095890411,15,"87","96",0,"Salmo salar","Ferchaud et al. - 2016 - Making sense of the relationships between Ne, Nb a.pdf",0.076980727,-0.040281834,15,1
"59",0.86,0.86,0,-2.50330228898188,2.50330228898188,1.27719504539892,94.4338624338624,0,0.145529528164929,-0.28523787520326,0.28523787520326,8.79164629962767,Inf,1,NA,0,0,0.133333333,1.095890411,15,"92","97",0,"Salmo salar","Ferchaud et al. - 2016 - Making sense of the relationships between Ne, Nb a.pdf",0.076980727,-0.040281834,15,1
"60",0.83,0.82,1.21951219512195,-0.0681714351718614,2.50719582541577,0.656981444027456,172.280487804878,0.199770554493308,0.107886021394607,-0.0116860474401218,0.411227156426738,6.09756097560976,500,0.581293308266071,0.581293308266071,0,0.184615385,0.334753452,3.835616438,6,"102","554",1.21951219512195,"Salmo salar","Garcia Valiente et al. - 2010 - Population genetics of south European Atlantic sal.pdf",0.053038222,-0.036252435,6,0.581481681497602
"61",0.56348,0.57216,-1.5170581655481,-2.2101993542642,-0.823916976832003,0.353643463630663,143.826388888889,-0.49605228617595,0.119719902959204,-0.73070329597599,-0.26140127637591,3.05023568634324,201.062540356929,0.0366199211942138,-0.0366199211942138,0,-0.477686413,0.228560675,10,9,"139","149",-1.5170581655481,"Oncorhynchus mykiss","Gow et al. - 2011 - Little impact of hatchery supplementation that use.pdf",0.020255408,-0.027186285,9,0.0375030729133901
"62",0.56844,0.54362,4.56568926823883,4.22595795556873,4.90542058090894,0.173332302382709,101.746478873239,3.54066563318108,0.221550592357007,3.10642647216134,3.97490479420081,1.28491129495279,28.142767049244,4.35429248213381e-10,4.35429248213382e-10,1,3.44902561,0.552660491,6.65,9,"129","84",4.56568926823883,"Oncorhynchus mykiss","Gow et al. - 2011 - Little impact of hatchery supplementation that use.pdf",0.02983241,-0.032113234,9,2.35155761529882e-09
"63",0.55106,0.55603,-0.893836663489385,-3.97060806726312,2.18293474028435,1.56978132845599,85.1868131868132,-0.0732056460306686,0.153272746722866,-0.373620229607485,0.227208937546148,12.1589960947159,1360.31521097482,0.733372241981465,-0.733372241981465,0,-0.075752777,0.222381625,9.2,9,"68","114",-0.893836663489385,"Oncorhynchus mykiss","Gow et al. - 2011 - Little impact of hatchery supplementation that use.pdf",0.022465485,-0.02836287,9,0.73376948496406
"64",0.58,0.51,13.7254901960784,9.75915499120595,17.6918254009509,2.02364041064922,81.6287425149701,1.08146669940602,0.167340613600495,0.753479096749053,1.40945430206299,12.6337749837059,92.0460748812862,5.36535985196096e-07,5.36535985196096e-07,1,1.032975631,0.20606906,24.66666667,11,"71","96",13.7254901960784,"Coregonus wartmanni","Gum et al. - 2014 - Genetic diversity of upper Lake Constance whitefis.pdf",0.00146975,-0.005615565,11,1.37238306763265e-06
"67",0.716,0.709,0.987306064880114,-8.34267195803491,10.3172840877951,4.7601928688342,43.8202247191011,0.0447695371825192,0.213663955354582,-0.374011815312461,0.463550889677499,21.8624167050323,2214.35049198113,0.865716986106358,0.865716986106358,0,0.042284766,0.250055875,17.67068273,8,"39","50",0.987306064880114,"Salmo trutta","Hansen et al. - 2002 - Long-term effective population sizes, temporal sta.pdf",-0.026156217,-0.015904775,8,0.86610953784966
"73",0.803,0.736,9.10326086956523,2.51646773060577,15.6900540085247,3.36060874436707,60.983606557377,0.485729419859044,0.183746123043197,0.125587018694377,0.84587182102371,18.6240452807157,204.586527262787,0.280440032356915,0.280440032356915,0,0.442289489,0.409781,0.200803213,5,"60","62",9.10326086956523,"Salmo trutta","j.1365-2427.2005.01486.x.pdf",0.063167744,-0.041598267,5,0.282604682687135
"84",0.72014,0.77457,-7.02712472726803,-16.8119223121522,2.75767285761614,4.99224366575723,40.6444444444444,-0.284963345226061,0.222841537852608,-0.721732759417173,0.151806068965051,24.4489824704866,347.922990118773,0.331627153999192,-0.331627153999192,0,-0.28010369,0.28851636,2.307692308,7,"31","59",-7.02712472726803,"Cyprinus carpio","Karaiskou et al. - 2011 - Genetic monitoring and effects of stocking practic.pdf",0.062246878,-0.0384996,7,0.334288078965945
"108",0.815,0.799,2.00250312891113,0.614839257946789,3.39016699987547,0.707991770900173,50,0.561345127571108,0.203900813537463,0.161699533037681,0.960990722104534,3.53995885450086,176.776695296638,1.33226762955019e-15,1.33226762955019e-15,1,0.876657114,0.109606596,0.25,20,"50","50",2.00250312891113,"Oncorhynchus mykiss","Narum et al. - 2006 - Small-scale genetic structure and variation in ste.pdf",0.063167744,-0.041525911,20,2.55928611636591e-12
"109",0.802,0.794,1.00755667506297,-0.573063413774355,2.5881767639003,0.806438820835371,50,0.247960796369429,0.200767085904739,-0.145542692003859,0.641464284742717,4.03219410417686,400.195264839553,0.000144013316045299,0.000144013316045299,0,0.387242332,0.101874458,0.25,20,"50","50",1.00755667506297,"Oncorhynchus mykiss","Narum et al. - 2006 - Small-scale genetic structure and variation in ste.pdf",0.063167744,-0.041525911,20,0.000250248454796154
"110",0.797,0.791,0.758533501896334,-0.828081353396761,2.34514835718943,0.809497375149538,50,0.185970597277072,0.20043184705844,-0.206875822957471,0.578817017511615,4.04748687574769,533.593686452737,0.0040529052095879,0.0040529052095879,0,0.290431749,0.101054383,0.25,20,"50","50",0.758533501896334,"Oncorhynchus mykiss","Narum et al. - 2006 - Small-scale genetic structure and variation in ste.pdf",0.063167744,-0.041525911,20,0.00497039400600308
"111",0.745,0.755,-1.32450331125828,-9.00292068312801,6.35391406061146,3.91755988360701,23.2962962962963,-0.0867315871612073,0.293121490164583,-0.66124970788379,0.487786533561375,15.0499679968839,1136.27258376473,0.796627869332861,-0.796627869332861,0,-0.085983957,0.333641385,20.82191781,6,"17","37",-1.32450331125828,"Salmo salar","Nielsen et al. - Genetic Variation in Time and Space Microsatellit.pdf",-0.031681411,-0.011270156,6,0.79764504669421
"112",0.74,0.55,34.5454545454545,25.3255318707973,43.7653772201118,4.70404218094758,91.0702702702703,1.13332186935524,0.159475593335724,0.820749706417225,1.44589403229326,30.3564963003492,87.8740682378529,8.88178419700125e-16,8.88178419700125e-16,1,1.085904709,0.134988074,3.835616438,17,"81","104",34.5454545454545,"Salmo salar","Ozerov et al. - 2016 - Genomewide introgressive hybridization patterns in.pdf",0.066851206,-0.036252435,17,1.0547118733939e-13
"113",0.74,0.73,1.36986301369863,-5.84033610184106,8.58006212923832,3.67867301813249,63.7012987012987,0.0665748180964428,0.177231273846807,-0.2807984786433,0.413948114836185,20.4745987261198,1494.64570700674,0.581581036258424,0.581581036258424,0,0.064866663,0.117708937,3.01369863,17,"45","109",1.36986301369863,"Salmo salar","Ozerov et al. - 2016 - Genomewide introgressive hybridization patterns in.pdf",0.065009475,-0.037461255,17,0.582390151872061
"114",0.853,0.84,1.54761904761905,-1.95162206251947,5.04686015775757,1.78532709700945,42.906976744186,0.184109331099375,0.216355118546247,-0.239946701251268,0.608165363450018,8.3307009123719,538.291443568645,0.482394420557037,0.482394420557036,0,0.176296436,0.250971264,1.643835616,8,"41","45",1.54761904761905,"Salmo salar","Ribeiro et al. - 2008 - Genetic diversity and effective size of the Atlant.pdf",0.062246878,-0.039475954,8,0.484336512446975
"117",0.74,0.75,-1.33333333333333,-8.20475377871419,5.53808711204752,3.50582675784738,67.7300613496933,-0.063337980607663,0.171875802063046,-0.400214552651233,0.273538591435907,20.952870312373,1571.46527342797,0.356553246650527,-0.356553246650527,0,-0.063615109,0.069000404,4.5,29,"48","115",-1.33333333333333,"Verasper variegatus","Sekino et al. - 2011 - Genetic structure in species with shallow evolutio.pdf",0.063628176,-0.035275305,29,0.357932748078335
"118",0.71,0.68,4.41176470588234,-4.56228306450583,13.3858124762705,4.57859580121845,63.8167938931298,0.171157727801069,0.177345780250914,-0.176440001490722,0.51875545709286,25.6258666319272,580.852976990353,0.0145839834321937,0.0145839834321937,0,0.16905337,0.069211888,7.5,29,"55","76",4.41176470588234,"Verasper variegatus","Sekino et al. - 2011 - Genetic structure in species with shallow evolutio.pdf",0.068232504,-0.030863112,29,0.0159378613945047
"124",0.68,0.62,9.67741935483872,2.33536103283271,17.0194776768447,3.74594812347245,37.0211333961502,0.587365695234299,0.237371372596428,0.1221178049453,1.0526135855233,16.3044402378558,168.479215791176,0.059743023036942,0.059743023036942,0,0.558914507,0.296870908,6.575342466,7,"39.29","35",9.67741935483872,"Salmo salar","Tessier and Bernatchez - 1999 - Stability of population structure and genetic dive.pdf",0.025412255,-0.032223035,7,0.0637670832050352
"127",0.68,0.68,0,-8.55562081460579,8.55562081460579,4.36511266051316,35.4963492957746,0,0.237368537055685,-0.465242332629143,0.465242332629143,18.4047178526525,Inf,1,NA,0,0,0.285714286,4.383561644,7,"35.14","35.86",0,"Salmo salar","Tessier and Bernatchez - 1999 - Stability of population structure and genetic dive.pdf",0.03277918,-0.035446555,7,1
"130",0.12921,0.1191,8.48866498740554,6.69122910166772,10.2861008731433,0.917059125376435,90,1.37404025838323,0.165730593230046,1.04920829565234,1.69887222111412,6.15181963118463,72.4709909074273,0,0,1,1.373542482,0.029778973,0.25733402,83,"90","90",8.48866498740554,"Picea asperata","Wang et al. - 2010 - Contribution of progeny cohorts to the restoration.pdf",0.027253986,-0.041515125,83,0
"131",0.892,0.89,0.224719101123596,-0.666591445329607,1.1160296475768,0.454750278802655,681.395744680851,0.026725075750901,0.0541793793931899,-0.0794665078597512,0.132916659361553,8.40406892514571,3739.81067168984,0.887430384823885,0.887430384823885,0,0.025739664,0.181833239,0.476190476,11,"576","834",0.224719101123596,"Oncorhynchus tshawytscha","Waples et al. - 2017 - Human-mediated evolution in a threatened species .pdf",0.073297265,-0.041193246,11,0.887450635199516
"132",0.891,0.886,0.564334085778782,-0.185176668686078,1.31384484024364,0.382403446155541,1039.243140965,0.0641036548244691,0.0438799427979599,-0.0219010330595323,0.150108342708471,8.80033534545674,1559.41942321493,0.733291837561061,0.733291837561061,0,0.061984289,0.181905501,0.476190476,11,"1194","920",0.564334085778782,"Oncorhynchus tshawytscha","Waples et al. - 2017 - Human-mediated evolution in a threatened species .pdf",0.073297265,-0.041193246,11,0.73332572883398
"133",0.921,0.927,-0.647249190938512,-3.35423012266916,2.05973174079214,1.38111272027074,38.873786407767,-0.079763209814312,0.226890801415993,-0.524469180589659,0.364942760961035,8.05422650672504,1244.37799528902,0.766332103651616,-0.766332103651616,0,-0.084984097,0.285972225,0.476190476,7,"26","77",-0.647249190938512,"Oncorhynchus tshawytscha","Williamson-2005-Homogenization of fall-run Chi.pdf",0.058563416,-0.041193246,7,0.766942437873414
"134",0.921,0.921,0,-2.42546668722371,2.42546668722371,1.23748300368557,67.5507246376812,0,0.172067952828161,-0.337253187543195,0.337253187543195,7.2298643321074,Inf,1,NA,0,0,0.285714286,0.476190476,7,"59","79",0,"Oncorhynchus tshawytscha","Williamson-2005-Homogenization of fall-run Chi.pdf",0.058563416,-0.041193246,7,1
"135",0.914,0.908,0.660792951541851,-2.53038924073869,3.85197514382239,1.62815417973497,45.5533980582524,0.081024019154638,0.20961008261838,-0.329811742777387,0.491859781086663,8.09480823285557,1225.01431257214,0.785057385025317,0.785057385025317,0,0.077983352,0.285931479,0.476190476,7,"34","69",0.660792951541851,"Oncorhynchus tshawytscha","Williamson-2005-Homogenization of fall-run Chi.pdf",0.058563416,-0.041193246,7,0.785614225380145
"141",0.8,0.8,0,-6.95787152230175,6.95787152230175,3.54993445015396,79.6893203883495,0,0.158421797385775,-0.310506722876119,0.310506722876119,16.6743242212479,Inf,1,NA,0,0,0.285714286,7,7,"54","152",0,"Illex argentinus","Adcock et al. - 1999 - Microsatellite analysis of genetic diversity in th.pdf",0.046592163,-0.031598478,7,1
"142",0.194,0.257,-24.5136186770428,-27.8934551604293,-21.1337821936563,1.72440636907476,50.7540983606557,-3.49361408729893,0.299044423964757,-4.07974115826985,-2.90748701632801,6.97274744648149,28.4443824404086,0.014356516728733,-0.014356516728733,0,-2.767063845,1.130236356,3,17,"86","36",-24.5136186770428,"Oryza rufipogon","Akimoto et al. - 1999 - The extinction of genetic resources of Asian wild .pdf",0.039225239,-0.037481402,17,0.0158030009662831
"150",0.55,0.55,0,-6.99366322681653,6.99366322681653,3.56819552388599,195.114503816794,0,0.101244215816543,-0.198438663000424,0.198438663000424,35.8374237377899,Inf,1,NA,0,0,0.2,0.051282051,10,"213","180",0,"Prosopis rubriflora","Alves-2018-A high level of outcrossing in the.pdf",0.077901593,-0.041818172,10,1
"156",0.69,0.693,-0.432900432900433,-1.87266956903988,1.00686870323901,0.734576089867065,313.568845618915,-0.0442886961165649,0.0798720770747574,-0.200837967183089,0.11226057494996,9.76428497912666,2255.54983017826,0.899445252044784,-0.899445252044784,0,-0.042130066,0.333407289,0.08,6,"488","231",-0.432900432900433,"Bagassa guianensis","Arruda et al. - 2015 - Mating system and genetic diversity of progenies b.pdf",0.067772071,-0.041775936,6,0.899480677363856
"157",0.6911,0.6642,4.04998494429389,-0.671036280785047,8.77100616937283,2.40868429850966,37.6708860759494,0.391246420778018,0.232508535599229,-0.0644703089964702,0.846963150552507,10.2503392522079,253.095737223662,0.0656416886157223,0.0656416886157223,0,0.374631604,0.203508721,1.578947368,10,"31","48",4.04998494429389,"Canis lupus","Aspi et al. - 2006 - Genetic diversity, population structure, effective.pdf",0.058563416,-0.039571388,10,0.0694937993702918
"158",0.8,0.9,-11.1111111111111,-19.0383418794388,-3.18388034278343,4.04450549404473,18.3783783783784,-0.940671535899476,0.347535806339629,-1.62184171632515,-0.259501355473803,11.5569596216587,104.012636594928,3.10969235117753e-06,-3.10969235117753e-06,-1,-1.233378873,0.264478429,34.61538462,9,"20","17",-11.1111111111111,"Vireo atricapilla","Athrey et al. - 2012 - Birds in space and time genetic changes accompany.pdf",-0.01510583,0.009016322,9,4.41485714381962e-05
"159",0.79,0.91,-13.1868131868132,-20.2716248436618,-6.10200152996459,3.61469982492275,14.1428571428571,-0.736018705466433,0.384529883252394,-1.48969727664112,0.0176598657082588,17.5783649175553,133.302600624794,3.39945449567836e-08,-3.39945449567836e-08,-1,-1.637842211,0.296736864,37.30769231,9,"9","33",-13.1868131868132,"Vireo atricapilla","Athrey et al. - 2012 - Birds in space and time genetic changes accompany.pdf",-0.021551889,0.012975982,9,2.23522939202248e-06
"160",0.75,0.89,-15.7303370786517,-24.5310635409592,-6.92961061634413,4.49016656240182,12.952380952381,-0.755639166309994,0.401508743677487,-1.54259630391787,0.0313179712978793,20.4244816229066,129.841347459906,6.44331255017505e-08,-6.44331255017505e-08,-1,-1.572823617,0.29093817,37.69230769,9,"8","34",-15.7303370786517,"Vireo atricapilla","Athrey et al. - 2012 - Birds in space and time genetic changes accompany.pdf",-0.020631024,0.013541647,9,3.22225320115166e-06
"164",0.619,0.607,1.97693574958814,-2.32174125143102,6.2756127506073,2.19320255154039,196.105527638191,0.0912758611657282,0.101039878675398,-0.106762301038052,0.289314023369508,21.6178643798976,1093.50363988315,0.800704078543645,0.800704078543645,0,0.084219938,0.333628875,0.074836296,6,"223","175",1.97693574958814,"Persoonia mollis","Ayre et al. - 2009 - Genetic structure of seedling cohorts following re.pdf",0.060405147,-0.04178353,6,0.800835052045515
"165",0.6575,0.665,-1.12781954887219,-1.96663832087464,-0.289000776869739,0.42796876122574,37.974025974026,-0.634160627812011,0.23511487680466,-1.09498578634914,-0.173335469274878,1.76060068175202,156.106593782011,0.296912704421024,-0.296912704421024,0,-0.540590065,0.518264851,0.333333333,13,"43","34",-1.12781954887219,"Pogonichthys macrolepidotus","Baerwald et al. - 2007 - Genetic analysis reveals two distinct Sacramento s.pdf",0.063167744,-0.041403351,13,0.30026326725651
"166",0.7427,0.7438,-0.147889217531593,-5.77927569002332,5.48349725496013,2.87315636351618,284.515373352855,-0.00426293829656148,0.0838421757354397,-0.168593602738023,0.1600677261449,34.6536294576763,23432.1541732908,0.964737098951002,-0.964737098951002,0,-0.004210475,0.095238306,1.1,21,"202","481",-0.147889217531593,"Anguilla anguilla","Baltazar-Soares et al. - 2016 - Evaluating the adaptive potential of the European .pdf",0.068692937,-0.04027579,21,0.964750058682509
"183",0.605,0.699,-13.447782546495,-20.6707121950742,-6.2248528979158,3.68516818805061,14.4827586206897,-1.29721103669031,0.408788797235724,-2.09843707927233,-0.495984994108286,10.0760335401546,74.9271004741286,0.00178498139672323,-0.00178498139672323,0,-1.242097925,0.397616969,25,6,"15","14",-13.447782546495,"Caenorhabditis elegans","Barriere and Felix - 2007 - Temporal dynamics and linkage disequilibrium in na.pdf",0.066851206,-0.005125322,6,0.00423195849181424
