"","PaperID","RowID","Citation","Journal","ISO.Abbreviation","WOS.Category","JIF.Category.Percentile.2020","Publication_Year","Binomen.rotl","ott_id","Subspecies","Common.Name","Kingdom","Phylum","Class","Order","Family","Invasive_100","Red.List.status","Threat","Domestic.Pest.Pathogen.Status","Gen.length","Realm","Location","Eco_D","Eco_E","Eco_F","Eco_H","Eco_I","Eco_L","Eco_N","Eco_O","Eco_S","Eco_U","Eco_V","Eco_X","Ecological.Disturbance.Any","Cons_A","Cons_B","Cons_E","Cons_F","Cons_I","Cons_L","Cons_N","Cons_P","Cons_R","Cons_S","Cons_T","Cons_U","Management.intensity","Conservation.Action.Any","Conservation.Action.Legal","Early.Sampling.Year","Recent.Sampling.Year","Interval","Year.Midpoint","Z.Year","Z.Year.Midpoint","Study.Duration","Gen.interval","Z.Gen.interval","Early.Sample.N","Recent.Sample.N","Total.N","AR.N","Genome","Marker.Type","Marker.Type.2","Marker.Type.Grouped","N.bp","N.Loci","N.Loci.BP","Diversity.Type","Other.Direction","Diversity.Type.Group","Error.Type","Statistical.Method","Statistic.Type","Statistic","Error","Early.Diversity","Early.Error","Recent.Diversity","Recent.Error","Did.You.Calculate.Mean.and.or.SD.","Number.of.Datapoints.in.Calculation.Early","Number.of.Datapoints.in.Calculation.Recent","Model.Type","Early.Ne","Early.Ne.Error","Recent.Ne","Recent.Ne.Error","Ne.Type","Xa.Gens","Xa.Gens.Error","Xa.Years","Xa.Years.Error","Mu","Mu.Error","Early.Year.Calculated","ES.Early.N","ES.Recent.N","ES.Total.N","ES.Early.SD","ES.Recent.SD","HedgesG","HedgesG.err","Extreme.Value","observation","M.Gen.interval","M.Year.Midpoint"
"11","Arrendal et al. - 2004 - Genetic evaluation of an otter translocation progr.pdf","30","Arrendal, J., Walker, C. W., Sundqvist, A. K., Hellborg, L., & Vil‡, C. (2004). Genetic evaluation of an otter translocation program. Conservation Genetics, 5, 79 to 88. doi: 10.1023/B:COGE.0000014059.49606.dd","Conservation Genetics","Conserv. Genet.","Biodiversity Conservation",59.17,2004,"Lutra lutra",348036,NA,"Eurasian otter","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","N","NT","Non-threatened",NA,3.3,"Palearctic","Sweden",0,0,0,0,0,0,0,0,1,0,0,0,"Any",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",1975,1996,21,1985.5,-0.581420703,0.031858314,"Medium",6.363636364,-0.032534398,15,20,NA,NA,"Nuclear","Microsatellite",NA,"Microsatellite",NA,6,NA,"A",NA,"Group1","SD",2,NA,NA,NA,4.83,"0.75",3.67,"1.51","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",6,6,NA,0.75,1.51,-0.898158543,0.366945365,NA,11,3.963636364,-15
"12","Aunins et al. - 2014 - Genetic Evaluation of Supplementation-Assisted Ame.pdf","1068","Aunins, A. W., Epifanio, J. M., & Brown, B. L. (2014). Genetic Evaluation of Supplementation-Assisted American Shad Restoration in the James River, Virginia. Marine and Coastal Fisheries, 6, 127 to 141. doi: 10.1080/19425120.2014.893465","Marine and Coastal Fisheries","Mar. Coast. Fish.","Marine & Freshwater Biology",38.64,2014,"Alosa sapidissima",519453,NA,"American shad","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","N","LC","Non-threatened",NA,4.75,"Nearctic",NA,0,0,0,0,0,1,0,0,0,0,0,0,"Any",0,0,0,0,0,1,0,0,0,1,0,0,"Population","Action","Any other",1993,2007,14,2000,0.308021646,0.058563416,"Medium",2.947368421,-0.037558808,63,119,NA,63,"Nuclear","Microsatellite",NA,"Microsatellite",NA,9,NA,"AR",NA,"Group1","SD",2,NA,NA,NA,9.53667,"0.085",9.42,"0.052","Yes",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",3,3,NA,0.085,0.052,-1.324681366,0.812898394,NA,12,0.547368421,-0.5
"13","Aunins et al. - 2014 - Genetic Evaluation of Supplementation-Assisted Ame.pdf","1067","Aunins, A. W., Epifanio, J. M., & Brown, B. L. (2014). Genetic Evaluation of Supplementation-Assisted American Shad Restoration in the James River, Virginia. Marine and Coastal Fisheries, 6, 127 to 141. doi: 10.1080/19425120.2014.893465","Marine and Coastal Fisheries","Mar. Coast. Fish.","Marine & Freshwater Biology",38.64,2014,"Alosa sapidissima",519453,NA,"American shad","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","N","LC","Non-threatened",NA,4.75,"Nearctic",NA,0,0,0,0,0,1,0,0,0,0,0,0,"Any",0,0,0,0,0,1,0,0,0,1,0,0,"Population","Action","Any other",1993,2007,14,2000,0.308021646,0.058563416,"Medium",2.947368421,-0.037558808,212,126,NA,NA,"Nuclear","Microsatellite",NA,"Microsatellite",NA,9,NA,"He",NA,"Group2","SD",2,NA,NA,NA,0.8125,"0.00957",0.8175,"0.005","Yes",4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",4,4,NA,0.00957,0.005,0.569463653,0.520268053,NA,13,0.547368421,-0.5
"14","Austin et al. - 2015 - Conspicuous genetic structure belies recent disper.pdf","773","Austin, J. D., Gore, J. A., Greene, D. U., & Gotteland, C. (2015). Conspicuous genetic structure belies recent dispersal in an endangered beach mouse (Peromyscus polionotus trissyllepsis). Conservation Genetics, 16, 915 to 928. doi: 10.1007/s10592-015-0710-8","Conservation Genetics","Conserv. Genet.","Biodiversity Conservation",59.17,2015,"Peromyscus polionotus",576108,"trissyllepsis","Perdido Key beach mouse","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","N","LC","Non-threatened",NA,0.6,"Nearctic","Gulf Island National Seashore",0,0,0,0,0,0,0,0,0,0,0,1,"None",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",2010,2012,2,2011,0.39696588,0.078822458,"Short",3.333333333,-0.036991158,20,87,NA,15,"Nuclear","Microsatellite",NA,"Microsatellite",NA,16,NA,"AR",NA,"Group1","SD",2,NA,NA,NA,3.43,"1.49385",3.36,"1.84065","Yes",16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",16,16,NA,1.49385,1.84065,-0.040707284,0.125025892,NA,14,0.933333333,10.5
"15","Austin et al. - 2015 - Conspicuous genetic structure belies recent disper.pdf","776","Austin, J. D., Gore, J. A., Greene, D. U., & Gotteland, C. (2015). Conspicuous genetic structure belies recent dispersal in an endangered beach mouse (Peromyscus polionotus trissyllepsis). Conservation Genetics, 16, 915 to 928. doi: 10.1007/s10592-015-0710-8","Conservation Genetics","Conserv. Genet.","Biodiversity Conservation",59.17,2015,"Peromyscus polionotus",576108,"trissyllepsis","Perdido Key beach mouse","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","N","LC","Non-threatened",NA,0.6,"Nearctic","Perdido Key State Park",0,0,0,0,0,0,0,0,0,0,0,1,"None",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",2010,2012,2,2011,0.39696588,0.078822458,"Short",3.333333333,-0.036991158,34,133,NA,15,"Nuclear","Microsatellite",NA,"Microsatellite",NA,16,NA,"AR",NA,"Group1","SD",2,NA,NA,NA,2.72,"1.05067",2.64,"1.02992","Yes",16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",16,16,NA,1.05067,1.02992,-0.074958849,0.125087794,NA,15,0.933333333,10.5
"16","Austin et al. - 2015 - Conspicuous genetic structure belies recent disper.pdf","774","Austin, J. D., Gore, J. A., Greene, D. U., & Gotteland, C. (2015). Conspicuous genetic structure belies recent dispersal in an endangered beach mouse (Peromyscus polionotus trissyllepsis). Conservation Genetics, 16, 915 to 928. doi: 10.1007/s10592-015-0710-8","Conservation Genetics","Conserv. Genet.","Biodiversity Conservation",59.17,2015,"Peromyscus polionotus",576108,"trissyllepsis","Perdido Key beach mouse","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","N","LC","Non-threatened",NA,0.6,"Nearctic","Gulf Island National Seashore",0,0,0,0,0,0,0,0,0,0,0,1,"None",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",2010,2012,2,2011,0.39696588,0.078822458,"Short",3.333333333,-0.036991158,20,87,NA,NA,"Nuclear","Microsatellite",NA,"Microsatellite",NA,16,NA,"He",NA,"Group2","SD",2,NA,NA,NA,0.4002,"0.22319",0.4322,"0.22779","Yes",16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",16,16,NA,0.22319,0.22779,0.138328328,0.12529898,NA,16,0.933333333,10.5
"17","Austin et al. - 2015 - Conspicuous genetic structure belies recent disper.pdf","777","Austin, J. D., Gore, J. A., Greene, D. U., & Gotteland, C. (2015). Conspicuous genetic structure belies recent dispersal in an endangered beach mouse (Peromyscus polionotus trissyllepsis). Conservation Genetics, 16, 915 to 928. doi: 10.1007/s10592-015-0710-8","Conservation Genetics","Conserv. Genet.","Biodiversity Conservation",59.17,2015,"Peromyscus polionotus",576108,"trissyllepsis","Perdido Key beach mouse","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","N","LC","Non-threatened",NA,0.6,"Nearctic","Perdido Key State Park",0,0,0,0,0,0,0,0,0,0,0,1,"None",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",2010,2012,2,2011,0.39696588,0.078822458,"Short",3.333333333,-0.036991158,34,133,NA,NA,"Nuclear","Microsatellite",NA,"Microsatellite",NA,16,NA,"He",NA,"Group2","SD",2,NA,NA,NA,0.4849,"0.16292",0.5093,"0.0978","Yes",16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",16,16,NA,0.16292,0.0978,0.17701723,0.125489611,NA,17,0.933333333,10.5
"18","Austin et al. - 2015 - Conspicuous genetic structure belies recent disper.pdf","775","Austin, J. D., Gore, J. A., Greene, D. U., & Gotteland, C. (2015). Conspicuous genetic structure belies recent dispersal in an endangered beach mouse (Peromyscus polionotus trissyllepsis). Conservation Genetics, 16, 915 to 928. doi: 10.1007/s10592-015-0710-8","Conservation Genetics","Conserv. Genet.","Biodiversity Conservation",59.17,2015,"Peromyscus polionotus",576108,"trissyllepsis","Perdido Key beach mouse","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","N","LC","Non-threatened",NA,0.6,"Nearctic","Gulf Island National Seashore",0,0,0,0,0,0,0,0,0,0,0,1,"None",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",2010,2012,2,2011,0.39696588,0.078822458,"Short",3.333333333,-0.036991158,20,87,NA,NA,"Nuclear","Microsatellite",NA,"Microsatellite",NA,16,NA,"Ho",NA,"Group3","SE",2,NA,NA,NA,0.511,"0.06",0.395,"0.061","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",16,16,NA,0.24,0.244,-0.467238714,0.128411125,NA,18,0.933333333,10.5
"19","Austin et al. - 2015 - Conspicuous genetic structure belies recent disper.pdf","778","Austin, J. D., Gore, J. A., Greene, D. U., & Gotteland, C. (2015). Conspicuous genetic structure belies recent dispersal in an endangered beach mouse (Peromyscus polionotus trissyllepsis). Conservation Genetics, 16, 915 to 928. doi: 10.1007/s10592-015-0710-8","Conservation Genetics","Conserv. Genet.","Biodiversity Conservation",59.17,2015,"Peromyscus polionotus",576108,"trissyllepsis","Perdido Key beach mouse","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","N","LC","Non-threatened",NA,0.6,"Nearctic","Perdido Key State Park",0,0,0,0,0,0,0,0,0,0,0,1,"None",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",2010,2012,2,2011,0.39696588,0.078822458,"Short",3.333333333,-0.036991158,34,133,NA,NA,"Nuclear","Microsatellite",NA,"Microsatellite",NA,16,NA,"Ho",NA,"Group3","SE",2,NA,NA,NA,0.318,"0.064",0.497,"0.025","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",16,16,NA,0.256,0.1,0.89784644,0.137595754,NA,19,0.933333333,10.5
"20","Baillie-2016-Loss of genetic diversity and red.pdf","625","Baillie, S. M., Muir, A. M., Scribner, K., Bentzen, P., & Krueger, C. C. (2016). Loss of genetic diversity and reduction of genetic distance among lake trout Salvelinus namaycush ecomorphs, Lake Superior 1959 to 2013. Journal of Great Lakes Research, 42, 204 to 216. doi: 10.1016/j.jglr.2016.02.001","Journal of Great Lakes Research","J. Gt. Lakes Res.","Limnology",73.81,2016,"Salvelinus namaycush",114152,NA,"lake trout","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","N",NA,"Unknown",NA,7,"Nearctic","Lake Superior Isle Royale: Lean",0,1,1,0,1,0,0,0,0,0,0,0,"Any",0,0,0,1,0,1,0,0,0,1,0,0,"Population","Action","Any other",1997,2009,12,2003,0.485910115,0.064088609,"Medium",1.714285714,-0.039372341,72,105,NA,15,"Nuclear","Microsatellite",NA,"Microsatellite",NA,5,NA,"AR",NA,"Group1","SD",2,NA,NA,NA,2.5,"0.84143",2.36,"0.81878","Yes",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",5,5,NA,0.84143,0.81878,-0.152317895,0.401160037,NA,20,-0.685714286,2.5
