"","Binomial","mean_slope","mean_abundance_change","median_abundance_change","mean_temporal_shift","n_populations"
"32","Acanthurus_blochii",0.00439168174945471,0.468626513314285,0.468626513314285,8,2
"33","Acanthurus_chirurgus",-0.00453380944139561,1.53955968489318,0.5,3.28,25
"34","Acanthurus_coeruleus",0.0494952516272454,1.17177391518286,0.294117647058824,3.36486486486486,74
"35","Acanthurus_dussumieri",-0.0180253904873418,-0.207655695053802,-0.63222710453284,9.75,4
"36","Acanthurus_lineatus",-0.151158018851846,-0.303125,-0.303125,1,1
"37","Acanthurus_nigricans",-0.00920541664736722,0.0394961375638285,0.0394961375638285,2,2
"38","Acanthurus_nigrofuscus",-0.0247265535137103,0.106226943275939,-0.108333333333333,3,5
"39","Acanthurus_tractus",0.0079941898195252,0.551503283460024,0.148236705653021,3.03030303030303,66
"40","Acanthurus_xanthopterus",0.014643583100788,4,5,15.3333333333333,3
"41","Acarichthys_heckelii",0.166188715942614,3.33333333333333,3.33333333333333,3,1
"42","Acaronia_nassa",-0.000669076319544388,-1,-1,10,3
"43","Accipiter_badius",-0.000241172613422746,0.431201899753142,-0.79986962190352,26.6666666666667,6
"44","Accipiter_cooperii",0.0020403267402009,2.44326014568456,0.398389694041868,40.75,8
"45","Accipiter_gentilis",-0.00791788995561828,1.93186407470412,0.363636363636364,28.6923076923077,13
"46","Accipiter_nisus",-0.00081129118772219,Inf,-0.0039923241050584,21.4285714285714,14
"47","Accipiter_striatus",0.0196684931063757,Inf,-0.4,32.0909090909091,11
"48","Acentrogobius_viridipunctatus",0.122854474249158,4.98813760379597,4.98813760379597,6,1
"49","Acestrorhynchus_falcatus",-0.0309692172908258,Inf,-1,9.55555555555556,9
"50","Acestrorhynchus_falcirostris",-0.0198970273913234,0.927669552669553,-1,9,11
"51","Acestrorhynchus_heterolepis",-0.00765057267894245,Inf,-1,9.6,10
"52","Acestrorhynchus_microlepis",0.0220230621282546,Inf,15,9.5,12
"53","Achirus_lineatus",-0.142503113185713,-0.704933504933505,-0.657657657657658,14,3
"54","Acinonyx_jubatus",0.00936487033884922,1.18084975369458,-0.025,25.75,4
"55","Acipenser_brevirostrum",-0.02214273925384,0.325458694403404,-0.218306716959068,10.6666666666667,6
"56","Acipenser_desotoi",0.0309555446468044,0.260204836908517,0.196925888375702,4.625,8
"57","Acipenser_fulvescens",-0.0386691849494521,2.34913814234175,-0.0578512396694215,10.4,15
"58","Acipenser_gueldenstaedtii",-0.0254296346129423,-0.263643179282128,-0.746036358564255,12.75,4
"59","Acipenser_medirostris",-0.000382316715875942,-0.421594356261023,-0.376,20,3
"60","Acipenser_nudiventris",-0.0364696544730849,-0.538235294117647,-0.538235294117647,9,1
"61","Acipenser_oxyrinchus",0.00857955511775235,0.457639733496441,-0.00411729262904198,8.66666666666667,6
"62","Acipenser_persicus",-0.0570953765114977,-0.375,-0.375,3,1
"63","Acipenser_ruthenus",0.0159430626859766,-1,-1,6,1
"64","Acipenser_schrenckii",-0.018052349178512,-0.782758620689655,-0.782758620689655,36,1
"65","Acipenser_sinensis",-0.0263873667279093,-0.388912801544786,-0.388912801544786,21,2
"66","Acipenser_stellatus",-0.111697097002445,-0.94848657809018,-0.94317568782593,12.75,4
"67","Acipenser_transmontanus",-0.0366826880374338,2.33815284766275,-0.173437020362222,9.63636363636364,11
"68","Acreichthys_tomentosus",-0.039954211168067,-0.668428005284016,-0.668428005284016,1,1
"69","Acridotheres_javanicus",0.0219042097558589,0.656265984654731,0.656265984654731,10,1
"70","Acridotheres_tristis",0.0181728005904612,1.32058152887781,1.32058152887781,15,2
"71","Acris_crepitans",0.00616391017222183,1.48,1.48,21,1
"72","Acris_gryllus",-0.0540504708480814,-0.354430379746835,-0.354430379746835,4,1
"73","Acrocephalus_aequinoctialis",0.0234959164065337,0.731186549872136,0.791822021125549,4.25,4
"74","Acrocephalus_agricola",0.0331075123434493,0.142857142857143,0.142857142857143,3,1
"75","Acrocephalus_arundinaceus",0.00826387486306957,Inf,0.31520344,16.5714285714286,7
"76","Acrocephalus_australis",0.0092853839248558,0.836078357976168,0.836078357976168,15.5,2
"77","Acrocephalus_luscinius",-0.015456487147609,-0.610051993067591,-0.610051993067591,25,1
"78","Acrocephalus_melanopogon",-0.00816098627126798,-0.120910940855849,-0.120910940855849,8.5,2
"79","Acrocephalus_palustris",-0.00225250139122306,0.55870854,0.55870854,40,1
"80","Acrocephalus_schoenobaenus",0.0124955875757879,Inf,0.394908054210526,18.25,4
"81","Acrocephalus_scirpaceus",0.0282029903932997,1.98128822143103,0.25,16.5555555555556,9
"82","Acrocephalus_sechellensis",0.0250045375485528,5.88467153284672,5.88467153284672,19.5,2
"83","Acrochordus_arafurae",4.23330230631238e-05,0.000195007800312119,0.000195007800312119,2,1
"84","Acroteriobatus_annulatus",-0.00042143129365306,Inf,Inf,9,2
"85","Actitis_hypoleucos",-0.000646730102695382,Inf,0.125,17,15
"86","Actitis_macularius",-0.00625237980545554,-0.674240221495707,-0.759735576923077,40,12
"87","Actophilornis_africanus",0.0954372107797626,0.448987435328899,0.448987435328899,1,2
"88","Addax_nasomaculatus",-0.079789210768124,-0.85,-0.85,10,1
"89","Adenomera_andreae",-0.0533685611001411,1.18216843860184,0.393112947658402,16.75,4
"90","Adenomera_araucaria",0.176091259055569,1,1,1,1
"91","Adenomus_kandianus",0.107477212714257,4,4,3,1
"92","Adontosternarchus_balaenops",-0.00550257328690188,Inf,Inf,9.57142857142857,7
"93","Adontosternarchus_clarkae",0.000992222448190919,NA,NA,9.5,2
"94","Aechmophorus_occidentalis",-0.0635179885565503,-0.88,-0.88,11,1
"95","Aegithalos_caudatus",0.0299109034599513,0.686471213379608,0.230278378378378,15.25,8
"96","Aegithina_tiphia",0.0615068119615795,3.16438356164384,3.16438356164384,10,1
"97","Aegolius_acadicus",0.00921319045833207,-0.296262462010396,-0.534862385321101,17.25,4
"98","Aegolius_funereus",0.0537786141883181,Inf,-0.357142857142857,7.71428571428571,7
"99","Aegypius_monachus",0.0455303032163297,19.6279379533617,2.96610169491525,22.3333333333333,9
"100","Aepyceros_melampus",0.00110530297389549,1.38902438054462,-0.0616680249932083,14.962962962963,27
"101","Aequidens_tetramerus",-0.00660460729954843,Inf,Inf,9.55555555555556,9
"102","Aerodramus_bartschi",0.115887674033981,1.8,1.8,4,1
"103","Aerodramus_maximus",-0.0282774418059894,-0.769230769230769,-0.769230769230769,25,1
"104","Aeronautes_saxatalis",-0.00095753440127268,-0.290909090909091,-0.290909090909091,40,2
"105","Aetobatus_narinari",-0.00361812533354297,-0.315156228995026,-0.315156228995026,13.5,2
"106","Afurcagobius_tamarensis",0.0240436507350507,0.208724131694033,0.135530574007835,1.66666666666667,3
"107","Agalychnis_callidryas",-0.0112528990490746,6.475,6.475,6,2
"108","Agalychnis_lemur",-0.00325620490856576,-1,-1,5,1
"109","Agamyxis_pectinifrons",-0.000768744400979396,-1,-1,9.33333333333333,3
"110","Agelaius_phoeniceus",-0.00708954859684466,-0.38242421875295,-0.35140608875129,41.6666666666667,12
"111","Agelaius_xanthomus",-0.0367380595761954,0.0302579398080032,-0.1575,8.16666666666667,6
"112","Agelasticus_cyanopus",1.14046584410796e-15,0,0,10,1
"113","Ageneiosus_inermis",-0.00405761499584192,Inf,-0.75,9,12
"114","Ageneiosus_ucayalensis",-0.00300261357692946,Inf,0.6,9.54545454545454,11
"115","Ageneiosus_uranophthalmus",-0.00121721435917629,NA,NA,10,1
"116","Ageneiosus_vittatus",-0.0105060329335508,-1,-1,9.66666666666667,9
"117","Agoniates_anchovia",0.000687150811295671,Inf,Inf,9.6,10
"118","Agonopsis_vulsa",1.62859860703e-07,0.625,0.625,4,2
"119","Agonus_cataphractus",0.0649829692166074,2.45320197044335,2.45320197044335,8,2
"120","Ailuroedus_melanotis",0.323657708840255,Inf,-0.166416791604198,1,3
"121","Ailuropoda_melanoleuca",6.82339672423931e-18,0,0,15,1
"122","Aipysurus_apraefrontalis",-0.060785427155932,-1,-1,11,1
"123","Aipysurus_foliosquama",-0.102979624905855,-1,-1,11,1
"124","Aipysurus_fuscus",-0.0599951193256037,-1,-1,11,1
"125","Aipysurus_laevis",-0.0173498638079869,NA,NA,11,1
"126","Aix_sponsa",0.00168064274670899,2.73514749518715,3.07936507936508,44,6
"127","Akodon_azarae",-0.032772587656234,6.12192841994697,0.120689655172414,13.3333333333333,3
"128","Akodon_cursor",0.0610727652701915,0.484116958744067,0.568233917488134,4,4
"129","Akodon_montensis",0.106471984967977,0.757168878480354,1,1,3
"130","Akodon_serrensis",-0.0021553120261339,-0.5,-0.5,1,1
"131","Alauda_arvensis",-0.0132801795139527,-0.303856715586799,-0.394736842105263,17.3333333333333,15
"132","Alauda_razae",0.0916866738491582,10.3834586466165,10.3834586466165,16,1
"133","Albatrossia_pectoralis",0.00672850649721055,0.405551964515339,0.549091574284059,9.2,5
"134","Albula_glossodonta",-0.0345993817178234,-0.949206349206349,-0.949206349206349,16,1
"135","Albula_vulpes",-0.542101189400318,-0.812445567214272,-0.812445567214272,17.5,2
"136","Alburnoides_bipunctatus",0.0234205217240809,0.714494301994302,0.344444444444444,5.66666666666667,6
"137","Alburnoides_prespensis",-0.0175810436681108,-0.441115702479339,-0.441115702479339,27,1
"138","Alburnus_alburnus",-0.083936260590826,1.47966331575779,0.111111111111111,3.28571428571429,21
"139","Alburnus_arborella",-0.0384738101180801,-0.86,-0.86,18,1
"140","Alburnus_belvica",0.104941965463298,5.71210161796715,4.10622768095295,14.3333333333333,3
"141","Alburnus_chalcoides",-0.170980200758972,-0.742822966507177,-0.742822966507177,3,1
"142","Alca_torda",0.00530576899388186,9.54306518791646,0.433333333333333,21.9047619047619,21
"143","Alcedo_atthis",0.0120335525063511,Inf,0.230769230769231,13.1428571428571,7
"144","Alcelaphus_buselaphus",-0.00795029546784623,0.346929473286156,-0.23624679447635,13.8076923076923,26
"145","Alcelaphus_caama",0.0273018571648394,4.54817708333333,4.54817708333333,10,2
"146","Alcelaphus_lichtensteinii",-0.0676423600842173,0.268292682926829,0.268292682926829,27.5,2
"147","Alces_alces",-0.00779311355503049,0.0507380768151258,-0.265,20.6551724137931,29
"148","Alces_americanus",0.00712921784001741,0.39391729916856,-0.03125,21.3103448275862,29
"149","Aldrichetta_forsteri",-0.034382415317576,0.803682159414665,0.48393469689853,13,6
"150","Alectis_indica",0.000244468221832809,0.25,0.25,17,1
"151","Alectoris_graeca",-0.11629197740468,-0.846666666666667,-0.846666666666667,7,1
"152","Alectoris_rufa",-0.00906806048736214,-0.336955549090909,-0.301,15.3333333333333,3
"153","Alepisaurus_ferox",0.00433016024721355,0.315492957746479,0.315492957746479,10,1
"154","Alepocephalus_australis",-0.146207803905365,-0.490392648287385,-0.490392648287385,2,1
"155","Alepocephalus_tenebrosus",9.20279556625129e-07,6,6,9,1
"156","Alestes_baremoze",0.000289267692648573,1.36564471504511,0.286970591034548,4,4
"157","Alle_alle",0.109317710530286,59.3593650793651,63.4114285714286,12.3333333333333,3
"158","Alligator_mississippiensis",0.0163247076771241,1.16009861855292,0.779163540885221,12.3333333333333,6
"159","Alligator_sinensis",-0.0412212302562405,-0.603042763157895,-0.671875,14,4
"160","Allobates_marchesianus",0.0116205548219124,0.720590117767537,0.890937019969278,9,3
"161","Allobates_talamancae",-0.000251526262446159,-1,-1,5,1
"162","Allocyttus_niger",-0.0140038995969425,-0.684142438475875,-0.684142438475875,34.5,2
"163","Allosmerus_elongatus",-3.84614747985096e-06,-0.674157303370786,-0.674157303370786,10,1
"164","Alopecoenas_xanthonurus",-0.00632973790862344,7.23770491803279,7.23770491803279,23.5,2
"165","Alopias_pelagicus",-0.000428008593550885,0.25,0.25,20,1
"166","Alopias_superciliosus",-0.0271046117264435,-0.341622496543338,-0.418392050587173,17.4285714285714,7
"167","Alopias_vulpinus",-0.0065922665421938,0.545948466949525,-0.91179952644041,19.375,8
"168","Alopochelidon_fucata",-0.617844576061922,4.25,4.25,5.5,2
"169","Alopochen_aegyptiaca",-0.343500703739552,-0.956334841628959,-0.956334841628959,3,2
"170","Alosa_aestivalis",0.215465126855513,29,29,11.5,2
"171","Alosa_alabamae",-0.0902310970943735,-0.356619443087445,-0.356619443087445,2,1
"172","Alosa_alosa",-0.0121173615350126,0.0494914620650382,0.0494914620650382,23,2
"173","Alosa_fallax",-0.0177594001960744,-0.590559373806796,-0.711111111111111,16,3
"174","Alosa_mediocris",-0.0301029995664064,NA,NA,4,1
"175","Alosa_pseudoharengus",-0.00223343047051409,7.18498507973837,0.862073766116421,18.16,25
"176","Alosa_sapidissima",0.00559271975592306,3.90640157243844,0.407185628742515,16.35,20
"177","Alouatta_belzebul",-0.00318794236336249,-0.148148148148148,-0.148148148148148,21,1
"178","Alouatta_caraya",0.0051093526195834,0.282051282051282,0.282051282051282,21,1
"179","Alouatta_palliata",0.0131814555048112,2.06661527837998,0.151515151515151,10.6666666666667,3
"180","Alouatta_seniculus",0.0139271936923692,0.0484066780309949,0.0510673922143157,11.6666666666667,3
"181","Alsophis_antiguae",0.136649717755203,4.08204558787656,2.2285489114373,6.33333333333333,3
"182","Aluterus_schoepfii",-0.060205999132799,-1,-1,4,1
"183","Amalosia_lesueurii",0.00353092724374774,0.0166666666666666,0.0166666666666666,2,1
"184","Amatitlania_siquia",-0.0873160655644435,-0.488372093023256,-0.488372093023256,3,1
"185","Amaurornis_phoenicurus",-0.0421760324643816,-0.142857142857143,-0.142857142857143,3,1
"186","Amazilia_candida",-0.0575986166205318,-0.35047907211296,-0.35047907211296,2,1
"187","Amazilia_lactea",0.0243038048686296,0.857142857142857,0.857142857142857,10,1
"188","Amazilia_versicolor",-0.0720159303406,-0.85,-0.85,10,1
"189","Amazilia_yucatanensis",6.14015230139409e-05,0.0247065768456143,0.0247065768456143,27,1
"190","Amazona_arausiaca",0.00660055366790029,0.428571428571429,0.428571428571429,15,1
"191","Amazona_auropalliata",-0.0152022084375187,-0.271476698483998,-0.271476698483998,9.5,2
"192","Amazona_barbadensis",0.0536213715401674,1.375,1.375,7,1
"193","Amazona_brasiliensis",0.00555808180464319,0.835051643581153,0.33498023715415,11,5
"194","Amazona_leucocephala",-0.0312803322161345,-0.013768600856295,0,5.2,5
"195","Amazona_pretrei",0.204119982655923,Inf,Inf,1,1
"196","Amazona_tucumana",-0.177247958419615,-0.826065573770492,-0.826065573770492,15,2
"197","Amazona_versicolor",0.0391458635604067,2.25,2.25,13,1
"198","Amazona_vittata",-0.00258113926971494,0.6625,0.6625,14.5,2
"199","Amazonetta_brasiliensis",-0.177437044596384,Inf,-1,3.52941176470588,17
"200","Ambassis_agassizii",-0.147758433980463,1.27341425966798,1.27341425966798,2.5,2
"201","Ambassis_agrammus",0.00282025260242203,0.214285714285714,0.214285714285714,4,1
"202","Ambassis_ambassis",0.0309867441738363,6.28599277717588,-0.382,2.33333333333333,3
"203","Ambassis_gymnocephalus",0.403356066168461,1.90487804878049,1.90487804878049,1,1
"204","Ambassis_interrupta",-0.0217192496932393,-0.0821917808219177,-0.0821917808219177,1,1
"205","Ambassis_macleayi",0.0376429805770319,2.27688787185355,2.27688787185355,5,2
"206","Ambassis_miops",0.153116694396834,1.30612633181126,1.30612633181126,1,2
"207","Ambassis_vachellii",-0.0744616825333904,-0.705593719332679,-0.705593719332679,6,1
"208","Ambloplites_rupestris",0.0177862862292712,1.86217301537148,0.7,19.4444444444444,9
"209","Amblydoras_affinis",-0.000881000118255034,NA,NA,10,1
"210","Amblyglyphidodon_curacao",-0.0109879464414366,-0.0628949242438153,-0.0201408760730795,1.5,4
"211","Amblyglyphidodon_leucogaster",-0.100365886532869,-0.188399608501743,-0.175585284280936,1.66666666666667,3
"212","Amblyraja_radiata",-0.00772354072531856,0.965933888192313,-0.0366352923055091,20.7241379310345,29
"213","Amblyrhynchote_honckenii",-0.000611860651591728,-0.642857142857143,-0.642857142857143,8,2
"214","Amblyrhynchus_cristatus",-0.0795752402124195,-0.494068541300527,-0.494068541300527,5,1
"215","Ambystoma_californiense",-0.0934057558763472,-0.672199170124481,-0.672199170124481,6,1
"216","Ambystoma_cingulatum",-0.0467881179597577,-0.987341772151899,-0.987341772151899,20,1
"217","Ambystoma_gracile",0.105762396147416,2.02235900673401,-0.125,5,4
"218","Ambystoma_jeffersonianum",-0.141998328182665,-0.480769230769231,-0.480769230769231,2,1
"219","Ambystoma_laterale",-0.037395030667552,-0.133333333333333,-0.133333333333333,4,1
"220","Ambystoma_macrodactylum",0.00377852648314369,Inf,0.414206642066421,3.66666666666667,3
"221","Ambystoma_maculatum",-0.0152271989018271,0.282290092749454,0.101694915254237,4.8,5
"222","Ambystoma_mavortium",-0.0363558740631186,0.1875,0.1875,7,1
"223","Ambystoma_opacum",-0.0596270244283436,Inf,Inf,12.5,2
"224","Ambystoma_talpoideum",-0.000568549080083495,-0.0379453371454582,-0.206220419202164,4.66666666666667,6
"225","Ambystoma_tigrinum",-0.0184887716587989,Inf,-0.639583333333333,8.33333333333333,3
"226","Ameerega_planipaleae",0.0131699106193528,0.729166666666667,0.729166666666667,7,1
"227","Ameiurus_catus",-0.023253170501467,-0.969846763841165,-0.97923875432526,20,5
"228","Ameiurus_melas",-0.0236254039699393,-0.0251277643512994,-0.0987105848823742,12.25,4
"229","Ameiurus_natalis",0.0240080955888564,0.814666666666667,0.814666666666667,1,1
"230","Ameiurus_nebulosus",-0.0113036874876642,0.0831181510534515,-0.802041032522335,19.2222222222222,9
"231","Ameivula_ocellifera",-0.0195715227227411,-0.4375,-0.4375,1,1
"232","Amia_calva",0.00911433325893076,Inf,0.451628352490422,8.875,8
"233","Ammodramus_humeralis",0.07763603427657,1.625,1.625,5,1
"234","Ammodramus_savannarum",-0.000554005282588645,2.4197419282917,-0.212141187470781,40.6666666666667,6
"235","Ammodytes_americanus",-0.0970876968427813,Inf,-0.722222222222222,3.57894736842105,19
"236","Ammodytes_dubius",-0.00717155181431446,1362.08989314118,-0.277268013388951,19.125,16
"237","Ammodytes_hexapterus",0.00796991785344722,Inf,54.5714285714286,14,5
"238","Ammodytes_marinus",0.0227659276424355,1.37126334908645,1.09815710364658,17.4,5
"239","Ammodytes_tobianus",-0.0112080119018076,-0.731675833935738,-0.731675833935738,21,1
"240","Ammospiza_caudacuta",-0.000693552911997634,-0.474460199806639,-0.474460199806639,27,1
"241","Ammospiza_leconteii",-0.00140096913519883,0.735364979227374,-0.0526315789473684,42,7
"242","Ammospiza_nelsoni",0.00106907267742003,2.23503850049527,1.10169491525424,43.2,5
"243","Amniataba_caudavittata",3.13902477045835e-06,0.326790450928382,0.326790450928382,17,1
"244","Amniataba_percoides",0.0124545519186795,0.232002095642075,0.0365942028985508,5.25,4
"245","Amphiarius_rugispinis",0.218288938850072,1.33333333333333,1.33333333333333,1,1
"246","Amphibolurus_muricatus",0.0150675710574508,3.21428571428571,3.21428571428571,3,2
"247","Amphilophus_citrinellus",-0.0184746719425185,-0.428571428571428,-0.428571428571428,6,1
"248","Amphiprion_clarkii",-0.0765817515309918,-0.5,-0.5,3,1
"249","Amphiprion_frenatus",-0.00621479067488448,0,0,3,1
"250","Anabacerthia_amaurotis",-0.301029995663834,-1,-1,1,1
"251","Anabacerthia_lichtensteini",-0.02082347794003,-0.709677419354839,-0.709677419354839,25,1
"252","Anableps_anableps",-0.392110465011198,-0.897959183673469,-0.897959183673469,1,1
"253","Anadoras_weddellii",0.000797414782992199,-1,-1,9.66666666666667,6
"254","Anairetes_fernandezianus",-0.0317387923621075,-0.669247519961287,-0.669247519961287,15,1
"255","Anarhichas_denticulatus",-0.00550101787828931,3.10040455265406,-0.288863242220576,15.9655172413793,29
"256","Anarhichas_lupus",-0.0129263974140803,0.351017439552222,-0.658231416394295,19.1764705882353,34
"257","Anarhichas_minor",-0.00350598059757253,-0.0378056901527482,-0.76202397252542,15.1923076923077,26
"258","Anarrhichthys_ocellatus",0.00111158648113723,-0.0790825104773753,-0.535012766704935,12.75,4
"259","Anas_acuta",0.00939234610737445,Inf,-0.173913043478261,23.2325581395349,43
"260","Anas_castanea",0.00413467245621722,-0.28242007919003,-0.28242007919003,15.5,2
"261","Anas_crecca",-0.011449775412459,Inf,0.142857142857143,26.1219512195122,41
"262","Anas_flavirostris",-0.156744960594904,Inf,-1,3,20
"263","Anas_fulvigula",-0.0107377726080775,-0.645155911288978,-0.645155911288978,33,1
"264","Anas_georgica",-0.125185437490408,Inf,-0.909090909090909,3,24
"265","Anas_gracilis",-0.0542684122960451,-0.753791321530249,-0.753791321530249,14.5,2
"266","Anas_laysanensis",0.198223167799043,9.12765957446809,9.12765957446809,5,1
"267","Anas_platyrhynchos",-0.00500786127585573,7.16507877966323,0.184007942586816,22.7758620689655,58
"268","Anas_poecilorhyncha",0.0601206757767757,1.20178372352285,1.20178372352285,3.5,2
"269","Anas_rubripes",-0.000579499725741126,-0.0211042251084757,-0.119710255432711,36.125,8
"270","Anas_superciliosa",-0.0227130628574906,-0.400367761770959,-0.243438914027149,14,3
"271","Anas_undulata",0.272488114551699,0.874193548387097,0.874193548387097,1,1
"272","Anas_wyvilliana",0.0268185447934335,3.22222222222222,3.22222222222222,26,1
"273","Anastomus_oscitans",0.00968478471122364,2.27931413098596,0.653573775279258,3.33333333333333,3
"274","Anaxyrus_americanus",-0.0517342847147807,-0.0679246636544669,-0.211764705882353,8.125,8
"275","Anaxyrus_boreas",-0.0409976910767546,-0.270828204340573,-0.22360248447205,5.14285714285714,7
"276","Anaxyrus_canorus",-0.13832294059749,-0.997142857142857,-0.997142857142857,17,1
"277","Anaxyrus_fowleri",0.0607006672721341,3.23356545787275,2.05426356589147,10.1666666666667,6
"278","Anaxyrus_hemiophrys",-0.20079203930696,-0.371980676328502,-0.371980676328502,1,1
"279","Anaxyrus_quercicus",-0.199506105148164,-0.924570357927381,-0.924570357927381,4,2
"280","Anaxyrus_terrestris",-0.060001170607224,-0.54448568178214,-0.527136801729719,6.75,4
"281","Anchoa_januaria",-0.067882176613458,NA,NA,10,1
"282","Anchoa_marinii",0.504642328370731,33.5714285714286,33.5714285714286,1,1
"283","Anchoa_mitchilli",-0.158114691438147,0.0133766109831723,-0.8,9.2,5
"284","Anchoa_spinifer",0.0377885608893886,0.375,0.375,1,1
"285","Anchoa_tricolor",0.0809646565943024,0.797752808988764,0.797752808988764,5.5,2
"286","Anchovia_clupeoides",-1.02118929906964,-1,-1,1,1
"287","Anchovia_surinamensis",-0.0734896658211802,-0.784375,-0.784375,9,1
"288","Anchoviella_carrikeri",0.003332644103472,-1,-1,10,2
"289","Anchoviella_jamesi",1.18076744992012e-17,NA,NA,10,1
"290","Anchoviella_lepidentostole",-0.0887847979273925,-0.676455435342607,-1,10.3333333333333,3
"291","Andinobates_minutus",-0.000389988216853548,-1,-1,5,1
"292","Aneides_aeneus",0.0667266726415391,0.263042220936958,0.263042220936958,15.5,2
"293","Aneides_flavipunctatus",-0.106702366604516,-1,-1,10,1
"294","Aneides_hardii",0.0177002998126932,1.18618277720445,0.472222222222222,8,6
"295","Aneides_vagrans",0.00117607426109958,0.111111111111111,0.111111111111111,10,1
"296","Anguilla_anguilla",-0.0338663431591166,0.99437988919951,-0.198694631911568,16.7727272727273,22
"297","Anguilla_australis",0.0192589756825018,0.407431241655541,0.224299065420561,5,5
"298","Anguilla_dieffenbachii",0.00280861342423225,-0.0882276029791762,-0.143,6.4,5
"299","Anguilla_japonica",-0.0223083142106472,0.0400008197144953,-0.588238033479937,12.3333333333333,6
"300","Anguilla_marmorata",0.0229927467030521,0.592685380085392,0.62532866439703,7.9,10
"301","Anguilla_obscura",0.00442007141440949,0.678571428571429,0.678571428571429,4,2
"302","Anguilla_reinhardtii",-0.0200388541690763,-0.0708344075639032,-0.232517482517482,5,6
"303","Anguilla_rostrata",-0.00622603961400562,0.346903881710825,0,12.8387096774194,31
"304","Anguis_fragilis",0.0232231681379626,2.75,2.75,22,1
"305","Anhima_cornuta",-0.0262092022140398,-0.31307141092167,-0.31307141092167,3,1
"306","Anhinga_melanogaster",-0.155809904949395,-0.193540707717464,-0.295138888888889,1.78571428571429,14
"307","Anhinga_rufa",0.185581831393219,1.4793570854973,1.47058823529412,2,3
"308","Anisotremus_surinamensis",-0.0498796256874434,0.744019490302788,-0.428514536041418,3,3
"309","Anisotremus_virginicus",-0.114631685984434,-0.209513136373745,-0.531986481481481,3,8
"310","Anodonthyla_boulengerii",-0.00295808204610619,-0.200630396053172,-0.200630396053172,8,1
"311","Anodontiglanis_dahli",-0.0281110277309128,0.115384615384615,0.115384615384615,5,1
"312","Anodontostoma_chacunda",0.082442379999912,0.209074448823091,0.209074448823091,1,1
"313","Anodus_elongatus",0.0342376482061256,Inf,3,9,12
"314","Anodus_orinocensis",0.0035240004730202,NA,NA,10,2
"315","Anolis_apletophallus",-0.00620676933971744,-0.894736842105263,-0.894736842105263,39,1
"316","Anolis_evermanni",0.0161711182622227,0.0747863247863247,0.0747863247863247,22,2
